Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs América (MG),4,34,34,"3,060",34.0,39,1.15,153,112,77.1,21,9,4,8,23.5,6,4,2,0,33.3
vs Ath Paranaense,2,35,35,"3,150",35.0,47,1.34,160,113,73.1,9,13,13,7,20.0,4,4,0,0,0.0
vs Atlético Mineiro,2,34,34,"3,060",34.0,43,1.26,152,110,75.7,9,9,16,7,20.6,6,6,0,0,0.0
vs Bahia,3,35,35,"3,150",35.0,44,1.26,154,112,73.4,16,8,11,13,37.1,3,3,0,0,0.0
vs Botafogo (RJ),2,34,34,"3,060",34.0,55,1.62,158,103,67.7,9,7,18,7,20.6,6,4,2,0,33.3
vs Bragantino,2,34,34,"3,060",34.0,46,1.35,189,144,77.2,7,11,16,8,23.5,3,3,0,0,0.0
vs Corinthians,2,35,35,"3,150",35.0,40,1.14,149,111,77.2,11,14,10,8,22.9,7,6,0,1,0.0
vs Coritiba,2,35,35,"3,150",35.0,40,1.14,141,102,77.3,22,5,8,9,25.7,9,8,0,1,0.0
vs Cruzeiro,2,34,34,"3,060",34.0,32,0.94,141,112,78.7,13,11,10,16,47.1,3,2,0,1,0.0
vs Cuiabá,2,34,34,"3,058",34.0,36,1.06,130,95,76.2,13,8,13,13,38.2,6,5,0,1,0.0
vs Flamengo,3,34,34,"3,060",34.0,51,1.50,156,106,72.4,8,9,17,6,17.6,9,8,0,1,0.0
vs Fluminense,3,35,35,"3,150",35.0,46,1.31,193,145,77.2,12,8,15,11,31.4,4,2,2,0,50.0
vs Fortaleza,3,34,34,"3,060",34.0,38,1.12,168,130,80.4,14,8,12,13,38.2,7,5,1,1,16.7
vs Goiás,2,34,34,"3,060",34.0,34,1.00,126,93,77.0,15,11,8,12,35.3,5,5,0,0,0.0
vs Grêmio,4,34,34,"3,060",34.0,57,1.68,168,113,68.5,11,5,18,8,23.5,6,4,0,2,0.0
vs Internacional,3,34,34,"3,060",34.0,38,1.12,138,100,73.9,13,10,11,14,41.2,3,2,1,0,33.3
vs Palmeiras,2,34,34,"3,060",34.0,56,1.65,182,126,70.3,8,8,18,8,23.5,4,2,1,1,33.3
vs Santos,2,34,34,"3,060",34.0,37,1.09,130,95,76.2,14,9,11,14,41.2,6,6,0,0,0.0
vs São Paulo,2,34,34,"3,060",34.0,37,1.09,154,112,78.6,12,10,12,12,35.3,8,4,4,0,50.0
vs Vasco da Gama,1,35,35,"3,150",35.0,37,1.06,137,100,75.9,15,9,11,11,31.4,4,4,0,0,0.0
