Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
América (MG),4,34,34,"3,058",34.0,71,2.09,188,117,64.4,4,9,21,2,5.9,7,4,2,1,33.3
Ath Paranaense,2,35,35,"3,150",35.0,39,1.11,153,112,76.5,13,13,9,9,25.7,5,3,2,0,40.0
Atlético Mineiro,2,34,34,"3,060",34.0,27,0.79,120,94,78.3,16,9,9,13,38.2,1,1,0,0,0.0
Bahia,3,35,35,"3,150",35.0,48,1.37,179,131,76.5,11,8,16,9,25.7,6,6,0,0,0.0
Botafogo (RJ),2,34,34,"3,060",34.0,32,0.94,157,126,79.6,18,7,9,14,41.2,1,0,0,1,
Bragantino,2,34,34,"3,060",34.0,30,0.88,118,88,79.7,16,11,7,16,47.1,7,6,1,0,14.3
Corinthians,2,35,35,"3,150",35.0,44,1.26,171,128,77.8,10,14,11,9,25.7,7,6,0,1,0.0
Coritiba,2,35,35,"3,150",35.0,69,1.97,199,131,69.3,8,5,22,6,17.1,9,8,1,0,11.1
Cruzeiro,2,34,34,"3,060",34.0,30,0.88,127,97,78.0,10,11,13,14,41.2,3,2,0,1,0.0
Cuiabá,2,34,34,"3,060",34.0,35,1.03,134,101,76.9,13,8,13,11,32.4,4,4,0,0,0.0
Flamengo,3,34,34,"3,060",34.0,37,1.09,165,127,80.6,17,9,8,14,41.2,6,5,1,0,16.7
Fluminense,3,35,35,"3,150",35.0,43,1.23,142,100,72.5,15,8,12,11,31.4,5,4,0,1,0.0
Fortaleza,3,34,34,"3,060",34.0,40,1.18,142,102,73.9,12,8,14,9,26.5,7,3,2,2,40.0
Goiás,2,34,34,"3,060",34.0,49,1.44,157,109,72.0,8,11,15,9,26.5,5,5,0,0,0.0
Grêmio,4,34,34,"3,060",34.0,50,1.47,166,117,72.3,18,5,11,7,20.6,4,4,0,0,0.0
Internacional,3,34,34,"3,060",34.0,43,1.26,151,108,75.5,11,10,13,9,26.5,7,6,1,0,14.3
Palmeiras,2,34,34,"3,060",34.0,30,0.88,133,103,80.5,18,8,8,14,41.2,5,4,1,0,20.0
Santos,2,34,34,"3,060",34.0,55,1.62,180,127,71.7,11,9,14,8,23.5,6,4,1,1,20.0
São Paulo,2,34,34,"3,060",34.0,36,1.06,127,92,78.0,12,10,12,12,35.3,9,8,0,1,0.0
Vasco da Gama,1,35,35,"3,150",35.0,45,1.29,170,124,75.9,11,9,15,9,25.7,5,4,1,0,20.0
