Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
Palmeiras,17,12,2,3,30,12,+18,38,2.24,30.4,11.4,+19.0,+1.12,17,6,6,5,26,18,+8,24,1.41,19.3,24.2,-4.8,-0.28
Botafogo (RJ),17,11,2,4,35,16,+19,35,2.06,30.7,18.4,+12.3,+0.73,17,7,5,5,20,16,+4,26,1.53,14.3,26.4,-12.0,-0.71
Flamengo,17,9,5,3,24,12,+12,32,1.88,24.4,19.6,+4.8,+0.28,17,8,4,5,27,25,+2,28,1.65,19.4,22.4,-3.0,-0.18
Grêmio,17,12,2,3,31,15,+16,38,2.24,24.1,17.4,+6.7,+0.39,17,6,3,8,26,35,-9,21,1.24,20.4,32.0,-11.7,-0.69
Bragantino,17,10,5,2,26,12,+14,35,2.06,31.3,16.3,+15.1,+0.89,17,6,6,5,20,18,+2,24,1.41,21.6,22.6,-1.0,-0.06
Atlético Mineiro,17,9,3,5,23,15,+8,30,1.76,22.1,14.8,+7.2,+0.43,17,7,6,4,20,12,+8,27,1.59,19.3,20.4,-1.1,-0.06
Ath Paranaense,17,9,7,1,30,19,+11,34,2.00,30.0,17.6,+12.4,+0.73,17,4,5,8,17,20,-3,17,1.00,16.7,21.5,-4.8,-0.28
Fluminense,17,12,4,1,29,14,+15,40,2.35,24.3,14.7,+9.6,+0.56,17,2,4,11,15,28,-13,10,0.59,20.4,26.9,-6.5,-0.38
Cuiabá,17,5,6,6,20,20,0,21,1.24,19.7,17.7,+2.0,+0.12,17,8,2,7,16,15,+1,26,1.53,15.0,19.7,-4.7,-0.28
São Paulo,17,12,2,3,28,13,+15,38,2.24,28.6,13.5,+15.1,+0.89,17,0,8,9,9,23,-14,8,0.47,16.2,20.8,-4.7,-0.28
Fortaleza,17,8,5,4,25,18,+7,29,1.71,29.5,16.2,+13.3,+0.78,17,4,3,10,13,22,-9,15,0.88,17.1,23.7,-6.7,-0.39
Corinthians,17,6,10,1,24,16,+8,28,1.65,21.8,16.6,+5.2,+0.31,17,4,4,9,15,23,-8,16,0.94,13.6,27.0,-13.3,-0.78
Internacional,17,7,5,5,26,20,+6,26,1.53,22.7,19.8,+2.9,+0.17,17,4,5,8,12,23,-11,17,1.00,14.6,24.2,-9.5,-0.56
Santos,17,6,7,4,25,23,+2,25,1.47,22.8,18.7,+4.1,+0.24,17,5,2,10,12,32,-20,17,1.00,16.1,27.6,-11.4,-0.67
Vasco da Gama,17,8,2,7,20,18,+2,26,1.53,26.5,17.7,+8.8,+0.52,17,3,6,8,17,27,-10,15,0.88,16.7,24.1,-7.4,-0.43
Cruzeiro,17,4,6,7,12,15,-3,18,1.06,21.4,15.8,+5.6,+0.33,17,6,5,6,20,15,+5,23,1.35,19.4,22.2,-2.7,-0.16
Bahia,17,7,5,5,25,19,+6,26,1.53,24.9,19.2,+5.7,+0.33,17,3,3,11,14,28,-14,12,0.71,16.9,27.9,-11.0,-0.64
Goiás,17,4,7,6,18,24,-6,19,1.12,19.9,18.1,+1.8,+0.11,17,4,4,9,16,25,-9,16,0.94,14.4,23.8,-9.4,-0.55
Coritiba,17,4,3,10,16,25,-9,15,0.88,20.4,22.2,-1.8,-0.10,17,4,2,11,23,42,-19,14,0.82,15.4,31.8,-16.4,-0.97
América (MG),17,4,2,11,18,33,-15,14,0.82,24.1,21.3,+2.8,+0.16,17,0,7,10,21,38,-17,7,0.41,20.2,30.6,-10.5,-0.62
