Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs América (MG),43,35.0,930,26.57,692,72,55,50,50,11,120,3.43,88,9,6,8,8,1
vs Ath Paranaense,38,35.0,806,23.03,573,83,46,44,47,13,66,1.89,40,6,5,9,4,2
vs Atlético Mineiro,31,35.0,768,21.94,511,86,49,58,55,9,40,1.14,20,5,2,7,4,2
vs Bahia,35,35.0,753,21.51,517,73,54,39,56,14,83,2.37,55,8,8,5,7,0
vs Botafogo (RJ),35,35.0,816,23.31,589,66,56,49,44,12,56,1.60,35,3,8,7,2,1
vs Bragantino,34,35.0,719,20.54,477,78,65,51,42,6,49,1.40,28,4,5,7,5,0
vs Corinthians,36,35.0,1034,29.54,765,79,64,61,50,15,80,2.29,60,5,4,5,5,1
vs Coritiba,44,35.0,969,27.69,660,107,50,71,61,20,115,3.29,69,10,9,12,12,3
vs Cruzeiro,37,34.0,662,19.47,467,65,44,36,38,12,54,1.59,34,4,4,4,7,1
vs Cuiabá,30,35.0,753,21.51,561,61,64,32,30,5,59,1.69,41,2,6,6,4,0
vs Flamengo,32,35.0,865,24.71,610,72,54,70,44,15,64,1.83,41,5,4,8,5,1
vs Fluminense,36,35.0,806,23.03,595,67,43,42,42,17,70,2.00,50,3,5,6,5,1
vs Fortaleza,32,35.0,788,22.51,538,70,60,54,52,14,65,1.86,40,5,6,8,4,2
vs Goiás,37,34.0,871,25.62,625,79,55,49,50,13,86,2.53,55,4,9,11,7,0
vs Grêmio,44,35.0,1015,29.00,745,93,74,54,35,14,89,2.54,55,11,10,8,4,1
vs Internacional,35,35.0,784,22.40,531,78,48,57,56,14,70,2.00,44,3,5,8,9,1
vs Palmeiras,31,35.0,715,20.43,497,62,52,44,43,17,52,1.49,37,2,2,7,3,1
vs Santos,46,35.0,893,25.51,628,96,50,50,55,14,97,2.77,71,10,0,5,9,2
vs São Paulo,38,35.0,730,20.86,518,71,45,43,40,13,59,1.69,40,4,3,3,9,0
vs Vasco da Gama,39,35.0,826,23.60,592,71,48,51,50,14,77,2.20,55,2,6,10,4,0
