Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs América (MG),4,34.0,39,4,1,2,0,46.5,0.27,+7.5,+0.22,139,418,33.3,780,150,37.7,35.4,284,43.7,36.9,507,19,3.7,26,0.76,13.6
vs Ath Paranaense,2,35.0,47,4,0,5,0,50.4,0.30,+3.4,+0.10,192,483,39.8,830,172,36.9,34.6,336,52.7,41.5,518,29,5.6,38,1.09,14.8
vs Atlético Mineiro,2,34.0,43,6,3,3,1,48.9,0.29,+6.9,+0.20,131,347,37.8,659,157,35.4,34.3,247,46.2,39.5,476,37,7.8,25,0.74,11.7
vs Bahia,3,35.0,44,3,1,6,2,44.6,0.28,+2.6,+0.07,126,378,33.3,718,187,35.0,34.2,250,50.8,40.4,516,38,7.4,31,0.89,13.4
vs Botafogo (RJ),2,34.0,55,4,0,8,2,48.0,0.27,-5.0,-0.15,94,324,29.0,706,142,32.3,32.7,243,39.5,34.4,472,26,5.5,29,0.85,14.0
vs Bragantino,2,34.0,46,3,1,5,1,52.9,0.28,+7.9,+0.23,202,572,35.3,919,187,44.0,37.3,322,52.2,40.0,616,43,7.0,21,0.62,10.4
vs Corinthians,2,35.0,40,6,1,6,2,40.3,0.23,+2.3,+0.06,115,322,35.7,649,141,34.1,33.8,256,39.5,34.9,489,39,8.0,24,0.69,12.2
vs Coritiba,2,35.0,40,8,1,3,1,39.3,0.23,+0.3,+0.01,140,366,38.3,760,155,33.9,34.0,234,46.2,38.6,471,25,5.3,38,1.09,14.6
vs Cruzeiro,2,34.0,32,2,1,6,3,37.0,0.25,+8.0,+0.23,147,424,34.7,714,144,41.0,35.4,303,43.2,36.3,587,31,5.3,23,0.68,11.4
vs Cuiabá,2,34.0,36,5,1,6,1,38.9,0.27,+3.9,+0.12,163,390,41.8,814,149,36.9,34.2,255,35.3,33.5,618,48,7.8,30,0.88,12.5
vs Flamengo,3,34.0,51,8,1,2,1,53.9,0.30,+3.9,+0.11,171,400,42.8,738,144,41.5,36.6,250,37.6,34.1,418,20,4.8,31,0.91,14.8
vs Fluminense,3,35.0,46,2,1,7,0,56.9,0.28,+10.9,+0.31,210,528,39.8,739,132,52.8,40.7,267,51.7,40.4,529,22,4.2,19,0.54,13.1
vs Fortaleza,3,34.0,38,5,1,2,1,47.9,0.26,+10.9,+0.32,141,369,38.2,781,159,35.1,33.4,261,36.4,34.5,560,29,5.2,23,0.68,12.8
vs Goiás,2,34.0,34,5,1,7,1,38.5,0.28,+5.5,+0.16,124,313,39.6,697,143,32.1,32.5,256,34.8,33.1,529,36,6.8,25,0.74,13.1
vs Grêmio,4,34.0,57,4,1,5,2,50.7,0.28,-4.3,-0.13,179,415,43.1,713,132,41.9,36.2,244,47.5,37.9,413,21,5.1,28,0.82,13.0
vs Internacional,3,34.0,38,2,0,4,1,39.8,0.28,+2.8,+0.08,147,327,45.0,717,134,33.5,32.8,218,39.9,35.3,430,22,5.1,24,0.71,13.4
vs Palmeiras,2,34.0,56,2,1,8,1,56.5,0.30,+1.5,+0.04,183,478,38.3,781,143,42.0,36.6,310,48.4,40.2,668,30,4.5,31,0.91,12.7
vs Santos,2,34.0,37,6,1,6,2,42.0,0.29,+7.0,+0.21,128,413,31.0,774,130,39.7,35.1,246,43.1,35.9,481,20,4.2,27,0.79,14.4
vs São Paulo,2,34.0,37,4,0,5,0,49.6,0.28,+12.6,+0.37,175,439,39.9,692,112,45.7,37.2,246,50.0,40.0,480,26,5.4,27,0.79,14.5
vs Vasco da Gama,1,35.0,37,4,1,4,0,42.9,0.30,+5.9,+0.17,156,351,44.4,681,160,34.9,34.0,271,41.7,36.3,640,43,6.7,20,0.57,11.2
