Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
América (MG),4,34.0,71,4,3,5,2,62.7,0.31,-6.3,-0.19,175,397,44.1,575,155,46.3,37.0,253,51.8,40.0,612,52,8.5,33,0.97,6.8
Ath Paranaense,2,35.0,39,3,1,6,0,41.7,0.24,+2.7,+0.08,127,436,29.1,644,143,45.2,38.2,288,50.3,42.2,505,34,6.7,24,0.69,12.2
Atlético Mineiro,2,34.0,27,1,1,1,1,36.3,0.30,+10.3,+0.30,181,450,40.2,819,126,44.1,36.9,183,48.6,41.0,506,29,5.7,29,0.85,14.1
Bahia,3,35.0,48,6,1,2,1,55.6,0.29,+8.6,+0.25,192,482,39.8,858,132,40.8,35.7,244,54.1,42.6,433,27,6.2,39,1.11,15.2
Botafogo (RJ),2,34.0,32,0,0,2,1,44.8,0.29,+13.8,+0.41,193,501,38.5,747,182,49.5,30.4,220,59.5,45.0,553,31,5.6,47,1.38,18.4
Bragantino,2,34.0,30,6,0,4,1,39.0,0.28,+10.0,+0.29,149,455,32.7,792,154,47.1,40.5,261,31.4,31.6,407,15,3.7,58,1.71,17.0
Corinthians,2,35.0,44,6,0,8,1,51.7,0.27,+8.7,+0.25,161,340,47.4,707,141,33.7,33.5,357,28.6,29.6,618,27,4.4,12,0.34,10.7
Coritiba,2,35.0,69,8,2,10,2,58.7,0.26,-8.3,-0.24,181,520,34.8,820,170,45.6,38.3,286,51.0,41.6,593,46,7.8,35,1.00,12.3
Cruzeiro,2,34.0,30,2,2,3,0,37.8,0.29,+7.8,+0.23,164,379,43.3,824,139,33.4,32.5,270,38.5,35.6,438,17,3.9,19,0.56,10.0
Cuiabá,2,34.0,35,4,0,3,2,39.3,0.26,+6.3,+0.19,172,383,44.9,631,133,37.6,34.9,255,57.3,42.6,532,32,6.0,14,0.41,9.9
Flamengo,3,34.0,37,5,0,3,0,42.6,0.24,+5.6,+0.16,142,373,38.1,1117,161,27.8,28.0,210,29.5,29.8,510,22,4.3,37,1.09,16.7
Fluminense,3,35.0,43,4,0,5,1,45.9,0.30,+3.9,+0.11,46,123,37.4,739,173,11.5,22.4,272,14.0,15.9,501,36,7.2,29,0.83,13.0
Fortaleza,3,34.0,40,3,0,8,2,38.0,0.24,0.0,0.00,126,353,35.7,521,150,37.4,35.7,260,60.8,43.0,453,29,6.4,9,0.26,10.7
Goiás,2,34.0,49,5,1,10,1,49.2,0.29,+1.2,+0.03,238,541,44.0,826,152,50.2,32.8,293,43.0,38.8,645,42,6.5,18,0.53,6.4
Grêmio,4,34.0,50,4,0,9,1,52.2,0.30,+3.2,+0.09,158,473,33.4,563,132,46.9,43.3,346,60.4,43.8,579,33,5.7,21,0.62,6.9
Internacional,3,34.0,43,6,2,5,1,47.9,0.28,+5.9,+0.17,111,342,32.5,655,131,36.9,33.2,262,38.2,35.7,553,24,4.3,32,0.94,13.6
Palmeiras,2,34.0,30,4,1,2,1,37.5,0.26,+8.5,+0.25,140,364,38.5,919,197,31.4,33.4,230,32.6,32.6,416,34,8.2,20,0.59,13.2
Santos,2,34.0,55,4,1,9,3,54.2,0.28,+2.2,+0.07,131,416,31.5,626,119,42.5,37.3,261,57.5,44.2,547,24,4.4,21,0.62,12.6
São Paulo,2,34.0,36,8,1,1,1,41.0,0.26,+6.0,+0.18,152,387,39.3,885,148,32.7,32.2,250,39.2,36.3,443,18,4.1,29,0.85,13.7
Vasco da Gama,1,35.0,45,4,2,4,0,49.0,0.27,+4.0,+0.12,124,342,36.3,594,135,36.9,34.0,298,41.3,35.8,574,32,5.6,14,0.40,10.6
