Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
América (MG),43,35.0,13889,12184,1648,488,34,126,674,619,161,48,67,1,10327,57,291
Ath Paranaense,38,35.0,15526,13645,1818,517,52,161,634,736,198,67,98,1,12046,63,295
Atlético Mineiro,31,35.0,17784,16074,1655,464,51,118,624,649,179,104,53,0,14320,55,324
Bahia,35,35.0,16438,14546,1843,606,37,126,645,701,193,87,56,2,12967,49,316
Botafogo (RJ),35,35.0,15862,14113,1714,530,31,140,621,694,153,37,95,0,12565,35,264
Bragantino,34,35.0,17328,15333,1945,533,39,140,819,820,255,135,56,2,13283,50,371
Corinthians,36,35.0,17327,15469,1807,499,31,122,591,714,153,42,105,0,14046,51,285
Coritiba,44,35.0,14212,12338,1813,524,38,95,583,742,151,85,47,0,10820,61,272
Cruzeiro,37,34.0,16402,14488,1851,508,43,148,740,776,228,88,88,1,12925,63,363
Cuiabá,30,35.0,14901,13079,1750,576,26,116,791,659,179,60,79,6,11512,72,304
Flamengo,32,35.0,19758,18039,1668,540,46,162,563,626,182,76,56,3,16618,51,321
Fluminense,36,35.0,20670,18782,1816,570,24,126,668,684,199,79,52,4,17667,72,387
Fortaleza,32,35.0,15288,13491,1719,518,41,127,727,676,178,75,75,0,11947,78,295
Goiás,37,34.0,13982,12034,1866,547,42,119,641,740,184,74,92,8,10699,82,299
Grêmio,44,35.0,16053,14108,1887,554,49,70,543,702,188,48,71,0,12359,58,341
Internacional,35,35.0,17473,15690,1727,523,44,95,578,699,147,56,63,2,14141,56,331
Palmeiras,31,35.0,17084,15188,1799,579,35,169,854,671,221,100,70,1,13680,97,330
Santos,46,35.0,14270,12412,1798,555,28,103,647,710,165,52,74,0,10886,60,344
São Paulo,38,35.0,20106,18268,1766,528,40,222,628,710,200,86,80,1,16921,72,338
Vasco da Gama,39,35.0,15497,13611,1823,504,22,110,792,755,186,84,67,0,12221,63,293
