Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
América (MG),43,42.3,35.0,17937,1970,5586,7993,4628,725,17931,703,338,48.1,293,41.7,9627,58034,30291,590,443,121,523,271,10213,1248
Ath Paranaense,38,48.3,35.0,19403,1980,5896,9179,4529,703,19399,616,312,50.6,247,40.1,10507,55109,27535,553,419,117,495,294,11930,1247
Atlético Mineiro,31,53.0,35.0,21701,2128,6357,10623,4956,603,21695,678,356,52.5,264,38.9,12606,68118,36442,625,521,138,533,332,14168,1313
Bahia,35,50.3,35.0,20352,2018,6185,9533,4861,667,20349,691,345,49.9,290,42.0,11395,62589,33217,636,492,114,535,294,12831,1371
Botafogo (RJ),35,47.7,35.0,19902,1955,5865,9705,4544,651,19896,745,365,49.0,306,41.1,11101,62045,31120,597,438,138,520,293,12465,1270
Bragantino,34,55.9,35.0,21591,1800,5464,9802,6560,791,21588,804,400,49.8,334,41.5,12023,64798,33460,651,566,154,612,352,13163,1590
Corinthians,36,48.7,35.0,21191,2410,7053,9965,4370,559,21184,648,293,45.2,281,43.4,11901,59949,30891,590,410,107,484,225,13920,1227
Coritiba,44,44.0,35.0,18388,2252,6503,8198,3926,504,18379,748,363,48.5,298,39.8,9938,54266,27155,504,385,94,546,298,10724,1043
Cruzeiro,37,51.6,34.0,20105,1937,5898,9241,5174,610,20103,689,346,50.2,284,41.2,11222,61225,32435,572,443,113,537,267,12797,1437
Cuiabá,30,44.1,35.0,18618,1936,5694,8660,4468,555,18612,598,320,53.5,199,33.3,9808,54098,28997,536,426,103,546,269,11381,1262
Flamengo,32,57.1,35.0,23515,2039,6323,11276,6143,800,23506,744,380,51.1,302,40.6,14387,74589,39412,646,549,144,493,325,16448,1742
Fluminense,36,61.0,35.0,24367,2520,7763,10783,6040,726,24363,870,456,52.4,322,37.0,15721,80132,45122,784,559,155,514,338,17546,1500
Fortaleza,32,47.2,35.0,19091,1633,5090,9525,4709,722,19084,702,360,51.3,272,38.7,10638,61677,32758,642,454,147,436,291,11829,1379
Goiás,37,44.2,34.0,17858,2243,6040,7752,4243,609,17853,591,286,48.4,246,41.6,9231,50026,26985,460,395,94,516,321,10605,1148
Grêmio,44,47.0,35.0,19994,1965,5430,9298,5454,732,19988,685,331,48.3,296,43.2,10655,52906,26877,491,429,128,521,293,12250,1423
Internacional,35,51.5,35.0,21300,1943,5979,10752,4768,639,21296,670,346,51.6,259,38.7,12406,65631,33807,567,476,120,509,272,13997,1271
Palmeiras,31,53.6,35.0,20643,1881,5980,9702,5182,749,20639,699,371,53.1,252,36.1,12036,67194,36154,734,530,160,494,272,13552,1493
Santos,46,44.6,35.0,18311,1902,5875,8357,4325,597,18305,763,361,47.3,323,42.3,9946,58135,29644,627,469,134,499,307,10779,1110
São Paulo,38,60.0,35.0,23634,2197,6959,11499,5378,727,23626,779,415,53.3,301,38.6,14224,71837,36559,626,487,126,466,324,16770,1551
Vasco da Gama,39,47.9,35.0,19189,2109,6277,8806,4349,626,19185,697,353,50.6,291,41.8,10886,59302,30582,537,441,93,485,258,12076,1188
