Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
América (MG),43,35.0,39,483,148,30.6,13.80,4.23,0.07,0.24,19.1,17,4,6,44.6,40.0,0.09,-5.6,-5.0
Ath Paranaense,38,35.0,47,516,156,30.2,14.74,4.46,0.08,0.28,19.4,21,4,4,48.2,45.3,0.09,-1.2,-2.3
Atlético Mineiro,31,35.0,45,455,152,33.4,13.00,4.34,0.09,0.26,20.2,40,6,6,43.5,39.3,0.09,+1.5,-0.3
Bahia,35,35.0,42,480,151,31.5,13.71,4.31,0.08,0.26,18.6,15,3,3,44.6,42.2,0.09,-2.6,-3.2
Botafogo (RJ),35,35.0,54,468,156,33.3,13.37,4.46,0.11,0.32,19.1,19,4,6,46.7,42.0,0.09,+7.3,+8.0
Bragantino,34,35.0,45,582,191,32.8,16.63,5.46,0.07,0.22,19.4,26,3,3,53.4,51.0,0.09,-8.4,-9.0
Corinthians,36,35.0,38,419,143,34.1,11.97,4.09,0.08,0.22,19.6,18,6,7,36.4,31.0,0.08,+1.6,+1.0
Coritiba,44,35.0,39,388,133,34.3,11.09,3.80,0.08,0.23,20.5,28,8,9,36.6,29.5,0.08,+2.4,+1.5
Cruzeiro,37,34.0,29,467,139,29.8,13.74,4.09,0.06,0.19,19.3,25,2,3,40.9,38.5,0.08,-11.9,-11.5
Cuiabá,30,35.0,35,416,125,30.0,11.89,3.57,0.07,0.24,20.2,14,5,6,34.8,30.3,0.07,+0.2,-0.3
Flamengo,32,35.0,53,442,156,35.3,12.63,4.46,0.10,0.29,18.2,14,8,9,46.8,39.7,0.09,+6.2,+5.3
Fluminense,36,35.0,46,508,189,37.2,14.51,5.40,0.09,0.23,19.4,18,2,4,46.6,43.4,0.09,-0.6,+0.6
Fortaleza,32,35.0,39,514,169,32.9,14.69,4.83,0.07,0.20,19.1,30,5,7,48.4,42.9,0.08,-9.4,-8.9
Goiás,37,34.0,33,449,121,26.9,13.21,3.56,0.06,0.23,18.9,20,5,5,34.3,30.5,0.07,-1.3,-2.5
Grêmio,44,35.0,55,463,169,36.5,13.23,4.83,0.11,0.30,17.9,17,4,6,45.7,41.1,0.09,+9.3,+9.9
Internacional,35,35.0,38,429,136,31.7,12.26,3.89,0.08,0.26,19.7,22,3,4,38.5,35.2,0.08,-0.5,-0.2
Palmeiras,31,35.0,57,554,184,33.2,15.83,5.26,0.10,0.30,18.7,25,2,4,50.6,47.5,0.09,+6.4,+7.5
Santos,46,35.0,36,408,129,31.6,11.66,3.69,0.07,0.23,18.2,29,6,6,39.1,34.5,0.09,-3.1,-4.5
São Paulo,38,35.0,37,475,150,31.6,13.57,4.29,0.07,0.22,19.2,18,4,8,45.6,39.0,0.08,-8.6,-6.0
Vasco da Gama,39,35.0,37,435,133,30.6,12.43,3.80,0.08,0.25,17.2,27,4,4,43.8,40.8,0.10,-6.8,-7.8
