Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs América (MG),42,28.4,57.7,34,374,"3,060",34.0,69,50,119,65,4,7,68,5,51.9,46.3,36.2,82.5,778,1543,2.03,1.47,3.50,1.91,3.38,1.53,1.06,2.59,1.36,2.43
vs Ath Paranaense,38,28.4,51.7,35,385,"3,150",35.0,39,28,67,36,3,5,91,3,39.8,35.8,28.8,64.5,563,1256,1.11,0.80,1.91,1.03,1.83,1.14,0.82,1.96,1.02,1.84
vs Atlético Mineiro,31,28.3,46.8,34,374,"3,060",34.0,26,17,43,25,1,1,98,7,35.2,34.4,24.2,58.6,549,1260,0.76,0.50,1.26,0.74,1.24,1.03,0.71,1.75,1.01,1.72
vs Bahia,35,28.2,49.7,35,385,"3,150",35.0,47,31,78,41,6,6,87,4,48.0,43.6,33.2,76.8,614,1337,1.34,0.89,2.23,1.17,2.06,1.37,0.95,2.32,1.24,2.19
vs Botafogo (RJ),35,28.3,52.3,34,374,"3,060",34.0,31,23,54,31,0,1,90,1,44.7,43.9,33.5,77.4,583,1391,0.91,0.68,1.59,0.91,1.59,1.32,0.98,2.30,1.29,2.28
vs Bragantino,34,28.3,44.4,34,374,"3,060",34.0,29,17,46,23,6,7,82,0,38.9,34.0,26.3,60.3,471,910,0.85,0.50,1.35,0.68,1.18,1.14,0.77,1.92,1.00,1.77
vs Corinthians,36,28.6,51.3,35,385,"3,150",35.0,43,31,74,37,6,7,92,6,46.3,40.8,32.8,73.7,761,1613,1.23,0.89,2.11,1.06,1.94,1.32,0.94,2.26,1.17,2.10
vs Coritiba,44,28.5,56.0,35,385,"3,150",35.0,67,42,109,59,8,9,92,3,55.9,48.8,34.8,83.6,598,1523,1.91,1.20,3.11,1.69,2.89,1.60,1.00,2.59,1.39,2.39
vs Cruzeiro,37,28.4,48.4,34,374,"3,060",34.0,30,21,51,28,2,3,106,4,38.0,35.6,28.1,63.7,577,1247,0.88,0.62,1.50,0.82,1.44,1.12,0.83,1.94,1.05,1.87
vs Cuiabá,30,28.5,55.8,34,374,"3,060",34.0,33,21,54,29,4,4,100,7,37.4,34.3,27.8,62.1,564,1520,0.97,0.62,1.59,0.85,1.47,1.10,0.82,1.92,1.01,1.83
vs Flamengo,32,28.3,42.9,34,374,"3,060",34.0,37,20,57,32,5,6,96,8,42.0,37.5,27.5,65.0,520,1180,1.09,0.59,1.68,0.94,1.53,1.24,0.81,2.04,1.10,1.91
vs Fluminense,36,28.4,39.0,35,385,"3,150",35.0,42,32,74,38,4,5,94,4,42.4,38.6,30.6,69.2,552,1059,1.20,0.91,2.11,1.09,2.00,1.21,0.87,2.09,1.10,1.98
vs Fortaleza,32,28.1,52.5,34,374,"3,060",34.0,38,24,62,35,3,7,91,2,40.1,34.6,25.9,60.6,624,1262,1.12,0.71,1.82,1.03,1.74,1.18,0.76,1.94,1.02,1.78
vs Goiás,37,28.0,55.8,34,374,"3,060",34.0,48,34,82,43,5,5,101,6,41.9,38.1,28.1,66.1,574,1552,1.41,1.00,2.41,1.26,2.26,1.23,0.83,2.06,1.12,1.94
vs Grêmio,44,28.3,53.2,34,374,"3,060",34.0,49,36,85,45,4,4,104,7,49.4,46.3,37.8,84.1,748,1512,1.44,1.06,2.50,1.32,2.38,1.45,1.11,2.57,1.36,2.47
vs Internacional,35,28.5,47.9,34,374,"3,060",34.0,42,24,66,36,6,7,87,7,43.9,38.2,24.8,63.0,512,1302,1.24,0.71,1.94,1.06,1.76,1.29,0.73,2.02,1.12,1.85
vs Palmeiras,31,28.2,46.7,34,374,"3,060",34.0,29,18,47,25,4,5,115,10,35.5,31.7,23.8,55.5,505,1095,0.85,0.53,1.38,0.74,1.26,1.05,0.70,1.74,0.93,1.63
vs Santos,46,28.3,55.6,34,374,"3,060",34.0,52,39,91,48,4,6,97,6,46.2,41.7,32.0,73.7,573,1423,1.53,1.15,2.68,1.41,2.56,1.36,0.94,2.30,1.23,2.17
vs São Paulo,38,28.5,40.1,34,374,"3,060",34.0,35,22,57,27,8,9,103,4,34.4,27.4,22.4,49.8,457,1079,1.03,0.65,1.68,0.79,1.44,1.01,0.66,1.67,0.81,1.46
vs Vasco da Gama,39,28.3,52.1,35,385,"3,150",35.0,45,32,77,41,4,5,84,5,43.2,39.2,30.5,69.7,623,1516,1.29,0.91,2.20,1.17,2.09,1.24,0.87,2.11,1.12,1.99
