Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
América (MG),42,30.2,42.3,34,374,"3,060",34.0,39,27,66,35,4,6,79,9,44.2,39.6,32.0,71.6,574,1228,1.15,0.79,1.94,1.03,1.82,1.30,0.94,2.24,1.17,2.11
Ath Paranaense,38,26.9,48.3,35,385,"3,150",35.0,47,36,83,43,4,4,97,4,48.2,45.3,36.9,82.1,553,1258,1.34,1.03,2.37,1.23,2.26,1.38,1.05,2.43,1.29,2.35
Atlético Mineiro,31,29.5,53.2,34,374,"3,060",34.0,42,28,70,36,6,6,103,5,41.3,37.1,29.1,66.2,604,1294,1.24,0.82,2.06,1.06,1.88,1.22,0.86,2.07,1.09,1.95
Bahia,35,27.7,50.3,35,385,"3,150",35.0,42,23,65,39,3,3,93,5,44.5,42.2,27.2,69.4,636,1374,1.20,0.66,1.86,1.11,1.77,1.27,0.78,2.05,1.21,1.98
Botafogo (RJ),35,29.4,47.7,34,374,"3,060",34.0,53,38,91,49,4,6,82,3,45.2,40.4,29.9,70.4,580,1259,1.56,1.12,2.68,1.44,2.56,1.33,0.88,2.21,1.19,2.07
Bragantino,34,25.1,55.6,34,374,"3,060",34.0,45,28,73,42,3,3,97,3,52.9,50.6,35.6,86.1,623,1533,1.32,0.82,2.15,1.24,2.06,1.56,1.05,2.60,1.49,2.53
Corinthians,36,28.2,48.7,35,385,"3,150",35.0,38,21,59,32,6,7,88,2,36.4,31.0,23.0,54.0,588,1253,1.09,0.60,1.69,0.91,1.51,1.04,0.66,1.70,0.89,1.54
Coritiba,44,28.2,44.0,35,385,"3,150",35.0,39,24,63,31,8,9,118,4,36.6,29.5,23.2,52.7,504,1055,1.11,0.69,1.80,0.89,1.57,1.05,0.66,1.71,0.84,1.51
Cruzeiro,37,28.8,51.6,34,374,"3,060",34.0,29,23,52,27,2,3,91,4,40.9,38.5,30.6,69.1,572,1450,0.85,0.68,1.53,0.79,1.47,1.20,0.90,2.10,1.13,2.03
Cuiabá,30,28.9,44.2,34,374,"3,060",34.0,35,23,58,30,5,6,82,2,34.7,30.2,23.0,53.2,521,1238,1.03,0.68,1.71,0.88,1.56,1.02,0.68,1.70,0.89,1.56
Flamengo,32,27.4,57.1,34,374,"3,060",34.0,50,34,84,42,8,9,73,5,43.8,36.7,29.4,66.1,611,1694,1.47,1.00,2.47,1.24,2.24,1.29,0.86,2.15,1.08,1.94
Fluminense,36,30.0,61.0,35,385,"3,150",35.0,46,32,78,44,2,4,114,8,46.6,43.4,33.9,77.4,784,1508,1.31,0.91,2.23,1.26,2.17,1.33,0.97,2.30,1.24,2.21
Fortaleza,32,30.5,47.5,34,374,"3,060",34.0,37,22,59,32,5,7,84,1,46.6,41.1,30.9,72.0,626,1361,1.09,0.65,1.74,0.94,1.59,1.37,0.91,2.28,1.21,2.12
Goiás,37,28.7,44.2,34,374,"3,060",34.0,33,21,54,28,5,5,96,6,34.3,30.5,23.0,53.5,460,1157,0.97,0.62,1.59,0.82,1.44,1.01,0.68,1.69,0.90,1.57
Grêmio,44,28.7,46.8,34,374,"3,060",34.0,55,42,97,51,4,6,91,5,44.4,39.8,32.5,72.3,475,1368,1.62,1.24,2.85,1.50,2.74,1.31,0.95,2.26,1.17,2.13
Internacional,35,29.3,52.1,34,374,"3,060",34.0,37,24,61,35,2,3,101,6,37.3,34.9,25.4,60.3,561,1265,1.09,0.71,1.79,1.03,1.74,1.10,0.75,1.84,1.03,1.77
Palmeiras,31,27.7,53.4,34,374,"3,060",34.0,55,39,94,53,2,4,88,3,49.7,46.6,37.5,84.2,709,1473,1.62,1.15,2.76,1.56,2.71,1.46,1.10,2.57,1.37,2.48
Santos,46,27.3,44.4,34,374,"3,060",34.0,35,24,59,29,6,6,94,8,38.9,34.2,25.9,60.1,620,1086,1.03,0.71,1.74,0.85,1.56,1.14,0.76,1.91,1.01,1.77
São Paulo,38,27.5,59.9,34,374,"3,060",34.0,37,26,63,33,4,8,100,5,44.8,38.2,30.2,68.4,608,1509,1.09,0.76,1.85,0.97,1.74,1.32,0.89,2.20,1.12,2.01
Vasco da Gama,39,26.9,47.9,35,385,"3,150",35.0,37,27,64,33,4,4,94,6,43.8,40.8,29.7,70.5,537,1217,1.06,0.77,1.83,0.94,1.71,1.25,0.85,2.10,1.16,2.01
