Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
América (MG),4,35,35,"3,148",35.0,74,2.12,196,122,64.3,4,9,22,2,5.7,7,4,2,1,33.3
Ath Paranaense,2,35,35,"3,150",35.0,39,1.11,153,112,76.5,13,13,9,9,25.7,5,3,2,0,40.0
Atlético Mineiro,2,35,35,"3,150",35.0,27,0.77,125,99,79.2,17,9,9,14,40.0,1,1,0,0,0.0
Bahia,3,35,35,"3,150",35.0,48,1.37,179,131,76.5,11,8,16,9,25.7,6,6,0,0,0.0
Botafogo (RJ),2,35,35,"3,150",35.0,33,0.94,162,130,79.6,18,8,9,14,40.0,1,0,0,1,
Bragantino,2,35,35,"3,150",35.0,31,0.89,120,89,80.0,16,11,8,16,45.7,8,7,1,0,12.5
Corinthians,2,35,35,"3,150",35.0,44,1.26,171,128,77.8,10,14,11,9,25.7,7,6,0,1,0.0
Coritiba,2,35,35,"3,150",35.0,69,1.97,199,131,69.3,8,5,22,6,17.1,9,8,1,0,11.1
Cruzeiro,2,35,35,"3,150",35.0,30,0.86,130,100,78.5,11,11,13,15,42.9,3,2,0,1,0.0
Cuiabá,2,35,35,"3,150",35.0,35,1.00,138,105,77.5,13,9,13,12,34.3,4,4,0,0,0.0
Flamengo,3,35,35,"3,150",35.0,37,1.06,166,128,80.7,18,9,8,15,42.9,6,5,1,0,16.7
Fluminense,3,35,35,"3,150",35.0,43,1.23,142,100,72.5,15,8,12,11,31.4,5,4,0,1,0.0
Fortaleza,3,35,35,"3,150",35.0,42,1.20,147,105,73.5,12,9,14,9,25.7,7,3,2,2,40.0
Goiás,2,35,35,"3,150",35.0,50,1.43,164,115,72.6,8,11,16,9,25.7,5,5,0,0,0.0
Grêmio,4,35,35,"3,150",35.0,53,1.51,172,120,71.5,18,5,12,7,20.0,4,4,0,0,0.0
Internacional,3,35,35,"3,150",35.0,43,1.23,156,113,76.3,12,10,13,10,28.6,7,6,1,0,14.3
Palmeiras,2,35,35,"3,150",35.0,32,0.91,140,108,80.0,18,9,8,14,40.0,5,4,1,0,20.0
Santos,2,35,35,"3,150",35.0,56,1.60,184,130,71.7,11,10,14,8,22.9,6,4,1,1,20.0
São Paulo,2,35,35,"3,150",35.0,36,1.03,127,92,78.0,12,11,12,13,37.1,9,8,0,1,0.0
Vasco da Gama,1,35,35,"3,150",35.0,45,1.29,170,124,75.9,11,9,15,9,25.7,5,4,1,0,20.0
