Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
Palmeiras,17,12,2,3,30,12,+18,38,2.24,30.4,11.4,+19.0,+1.12,18,6,7,5,28,20,+8,25,1.39,20.2,26.0,-5.8,-0.32
Flamengo,17,9,5,3,24,12,+12,32,1.88,24.5,19.6,+4.9,+0.29,18,9,4,5,30,25,+5,31,1.72,22.3,22.8,-0.5,-0.03
Botafogo (RJ),18,11,3,4,36,17,+19,36,2.00,32.2,18.6,+13.6,+0.75,17,7,5,5,20,16,+4,26,1.53,14.5,26.4,-11.9,-0.70
Atlético Mineiro,18,10,3,5,26,15,+11,33,1.83,24.2,16.1,+8.1,+0.45,17,7,6,4,20,12,+8,27,1.59,19.3,20.4,-1.1,-0.06
Grêmio,17,12,2,3,31,15,+16,38,2.24,24.1,17.4,+6.7,+0.39,18,6,3,9,26,38,-12,21,1.17,21.6,34.2,-12.6,-0.70
Bragantino,17,10,5,2,26,12,+14,35,2.06,31.3,16.3,+15.1,+0.89,18,6,6,6,20,19,+1,24,1.33,22.1,23.7,-1.7,-0.09
Fluminense,18,13,4,1,31,15,+16,43,2.39,26.2,15.5,+10.7,+0.59,17,2,4,11,15,28,-13,10,0.59,20.4,26.9,-6.5,-0.38
Ath Paranaense,18,9,8,1,30,19,+11,35,1.94,31.5,18.3,+13.2,+0.74,17,4,5,8,17,20,-3,17,1.00,16.7,21.5,-4.8,-0.28
Cuiabá,17,5,6,6,20,20,0,21,1.24,19.7,17.7,+2.0,+0.12,18,8,3,7,16,15,+1,27,1.50,15.1,20.6,-5.5,-0.30
São Paulo,18,12,3,3,28,13,+15,39,2.17,29.5,13.6,+15.8,+0.88,17,0,8,9,9,23,-14,8,0.47,16.2,20.8,-4.7,-0.28
Internacional,18,8,5,5,27,20,+7,29,1.61,23.8,20.2,+3.6,+0.20,17,4,5,8,12,23,-11,17,1.00,14.6,24.2,-9.5,-0.56
Fortaleza,18,8,6,4,27,20,+7,30,1.67,31.3,17.2,+14.2,+0.79,17,4,3,10,13,22,-9,15,0.88,17.1,23.7,-6.7,-0.39
Cruzeiro,17,4,6,7,12,15,-3,18,1.06,21.4,15.8,+5.6,+0.33,18,7,5,6,21,15,+6,26,1.44,20.3,22.6,-2.3,-0.13
Corinthians,18,6,10,2,25,21,+4,28,1.56,22.7,19.4,+3.4,+0.19,17,4,4,9,15,23,-8,16,0.94,13.6,27.0,-13.3,-0.78
Santos,17,6,7,4,25,23,+2,25,1.47,22.8,18.7,+4.1,+0.24,18,5,3,10,13,33,-20,18,1.00,16.4,29.1,-12.7,-0.70
Vasco da Gama,17,8,2,7,20,18,+2,26,1.53,26.5,17.7,+8.8,+0.52,18,3,7,8,17,27,-10,16,0.89,17.3,25.5,-8.2,-0.46
Bahia,17,7,5,5,25,19,+6,26,1.53,24.9,19.2,+5.7,+0.33,18,4,3,11,19,29,-10,15,0.83,19.7,28.8,-9.1,-0.51
Goiás,18,4,7,7,18,25,-7,19,1.06,20.3,19.0,+1.4,+0.08,17,4,4,9,16,25,-9,16,0.94,14.4,23.8,-9.4,-0.55
Coritiba,17,4,3,10,16,25,-9,15,0.88,20.4,22.2,-1.8,-0.10,18,4,2,12,24,44,-20,14,0.78,16.2,33.7,-17.5,-0.97
América (MG),18,4,2,12,18,36,-18,14,0.78,24.5,24.3,+0.2,+0.01,17,0,7,10,21,38,-17,7,0.41,20.2,30.6,-10.5,-0.62
