Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
América (MG),4,35.0,74,4,3,5,2,65.6,0.31,-6.4,-0.18,178,404,44.1,593,162,45.5,37.0,263,51.0,39.5,627,53,8.5,33,0.94,6.8
Ath Paranaense,2,35.0,39,3,1,6,0,41.7,0.24,+2.7,+0.08,127,436,29.1,644,143,45.2,38.2,288,50.3,42.2,505,34,6.7,24,0.69,12.2
Atlético Mineiro,2,35.0,27,1,1,1,1,37.3,0.30,+11.3,+0.32,188,465,40.4,846,129,44.1,37.0,188,48.9,40.9,520,30,5.8,33,0.94,14.6
Bahia,3,35.0,48,6,1,2,1,55.6,0.29,+8.6,+0.25,192,482,39.8,858,132,40.8,35.7,244,54.1,42.6,432,27,6.3,39,1.11,15.1
Botafogo (RJ),2,35.0,33,0,0,2,1,45.6,0.29,+13.6,+0.39,195,513,38.0,766,185,49.7,30.4,224,58.9,44.9,561,31,5.5,47,1.34,18.4
Bragantino,2,35.0,31,7,0,4,1,40.5,0.28,+10.5,+0.30,153,462,33.1,819,157,46.4,40.1,266,30.8,31.4,415,15,3.6,59,1.69,17.3
Corinthians,2,35.0,44,6,0,8,1,51.7,0.27,+8.7,+0.25,161,340,47.4,707,141,33.7,33.5,357,28.6,29.6,618,27,4.4,12,0.34,10.7
Coritiba,2,35.0,69,8,2,10,2,58.7,0.26,-8.3,-0.24,181,520,34.8,820,170,45.6,38.3,286,51.0,41.6,593,46,7.8,35,1.00,12.3
Cruzeiro,2,35.0,30,2,2,3,0,38.0,0.28,+8.0,+0.23,172,398,43.2,866,144,33.5,32.5,282,38.3,35.4,452,17,3.8,19,0.54,10.0
Cuiabá,2,35.0,35,4,0,3,2,39.8,0.26,+6.8,+0.20,181,397,45.6,662,139,37.6,34.9,266,55.6,41.8,550,34,6.2,14,0.40,9.7
Flamengo,3,35.0,37,5,0,3,0,42.9,0.24,+5.9,+0.17,144,378,38.1,1133,164,27.7,28.0,216,29.6,30.0,524,22,4.2,37,1.06,16.7
Fluminense,3,35.0,43,4,0,5,1,45.9,0.30,+3.9,+0.11,46,123,37.4,739,173,11.5,22.4,272,14.0,15.9,501,36,7.2,29,0.83,13.0
Fortaleza,3,35.0,42,3,0,9,2,40.5,0.25,+0.5,+0.01,128,362,35.4,531,151,37.9,35.7,267,60.3,42.9,470,29,6.2,9,0.26,10.7
Goiás,2,35.0,50,5,1,10,1,50.9,0.29,+1.9,+0.05,247,560,44.1,850,155,50.5,32.8,300,43.7,39.4,664,44,6.6,18,0.51,6.4
Grêmio,4,35.0,53,4,0,9,1,54.3,0.30,+2.3,+0.07,162,479,33.8,579,137,46.1,43.3,354,59.9,43.7,589,34,5.8,23,0.66,6.9
Internacional,3,35.0,43,6,2,5,1,48.7,0.27,+6.7,+0.19,118,367,32.2,675,135,38.1,34.2,272,40.4,36.9,574,26,4.5,33,0.94,13.4
Palmeiras,2,35.0,32,4,1,2,1,38.9,0.25,+7.9,+0.23,143,371,38.5,939,205,31.2,33.4,241,32.4,32.6,425,36,8.5,20,0.57,13.2
Santos,2,35.0,56,4,1,9,3,55.1,0.28,+2.1,+0.06,137,430,31.9,639,120,42.6,37.3,276,57.2,44.3,563,24,4.3,22,0.63,12.7
São Paulo,2,35.0,36,8,1,1,1,41.0,0.26,+6.0,+0.17,153,390,39.2,901,155,32.4,32.1,253,38.7,35.9,456,19,4.2,29,0.83,13.5
Vasco da Gama,1,35.0,45,4,2,4,0,49.0,0.27,+4.0,+0.12,124,342,36.3,594,135,36.9,34.0,298,41.3,35.8,574,32,5.6,14,0.40,10.6
