Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs América (MG),43,35.0,72,5,0,456,490,61,817,317,335,6,6,0,1968,492,552,47.1
vs Ath Paranaense,38,35.0,91,3,1,489,515,59,634,286,326,3,4,0,1668,553,534,50.9
vs Atlético Mineiro,31,35.0,100,7,3,467,532,53,639,361,347,0,6,1,1828,525,460,53.3
vs Bahia,35,35.0,87,4,1,500,493,123,570,334,351,4,3,2,1863,454,505,47.3
vs Botafogo (RJ),35,35.0,93,1,0,483,454,85,713,311,389,1,6,2,1822,509,511,49.9
vs Bragantino,34,35.0,87,0,0,470,544,96,510,349,428,4,3,1,1896,584,553,51.4
vs Corinthians,36,35.0,92,6,4,499,440,36,804,330,326,6,6,2,1801,441,486,47.6
vs Coritiba,44,35.0,92,3,2,520,519,46,763,309,376,7,9,1,1823,571,524,52.1
vs Cruzeiro,37,35.0,109,4,1,448,516,109,613,304,340,3,3,3,1739,528,494,51.7
vs Cuiabá,30,35.0,102,7,3,543,414,61,702,273,302,4,6,1,1753,470,569,45.2
vs Flamengo,32,35.0,100,8,4,497,433,70,646,326,400,5,9,1,1779,383,415,48.0
vs Fluminense,36,35.0,94,4,0,544,453,56,626,319,398,5,4,0,1638,433,402,51.9
vs Fortaleza,32,35.0,93,3,1,515,454,47,597,280,339,5,7,1,1706,484,534,47.5
vs Goiás,38,35.0,104,6,1,558,563,47,814,305,359,5,5,1,1701,606,600,50.2
vs Grêmio,44,35.0,106,7,5,537,416,45,736,390,384,2,6,2,1935,509,471,51.9
vs Internacional,35,35.0,92,7,6,499,452,55,715,294,323,6,4,1,1775,518,425,54.9
vs Palmeiras,31,35.0,117,10,7,574,517,43,537,279,321,2,4,1,1614,462,460,50.1
vs Santos,46,35.0,99,6,2,539,501,58,684,287,375,5,6,2,1680,477,529,47.4
vs São Paulo,38,35.0,103,4,1,503,463,54,570,326,376,8,8,0,1710,459,463,49.8
vs Vasco da Gama,39,35.0,84,5,0,508,501,46,714,293,389,2,4,0,1742,533,500,51.6
