Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
América (MG),43,30.1,35,"3,150",90,100,35.0,385,79,207,173,23,244,0.60,39,74,-35,-1.00,44.6,54.9,-10.3,-0.29
Ath Paranaense,38,26.9,35,"3,150",90,100,35.0,385,80,222,160,22,255,1.49,47,39,+8,+0.23,48.2,39.8,+8.4,+0.24
Atlético Mineiro,31,29.5,35,"3,150",90,100,35.0,385,82,237,144,20,264,1.71,46,27,+19,+0.54,43.5,36.5,+7.0,+0.20
Bahia,35,27.7,35,"3,150",90,100,35.0,385,81,222,158,21,253,1.17,44,48,-4,-0.11,44.6,48.0,-3.5,-0.10
Botafogo (RJ),35,29.4,35,"3,150",90,100,35.0,385,80,216,166,22,253,1.77,56,33,+23,+0.66,46.7,45.0,+1.7,+0.05
Bragantino,34,25.1,35,"3,150",90,100,35.0,385,77,219,167,29,249,1.69,46,31,+15,+0.43,53.4,40.0,+13.4,+0.38
Corinthians,36,28.2,35,"3,150",90,100,35.0,385,79,217,166,25,252,1.26,40,44,-4,-0.11,36.4,46.3,-10.0,-0.28
Coritiba,44,28.2,35,"3,150",90,100,35.0,385,79,213,171,24,241,0.83,40,69,-29,-0.83,36.6,55.9,-19.3,-0.55
Cruzeiro,37,28.8,35,"3,150",90,100,35.0,385,81,224,159,21,256,1.26,33,30,+3,+0.09,41.7,38.4,+3.3,+0.10
Cuiabá,30,28.9,35,"3,150",90,100,35.0,385,81,210,173,21,240,1.37,36,35,+1,+0.03,34.8,38.3,-3.5,-0.10
Flamengo,32,27.5,35,"3,150",90,100,35.0,385,80,230,153,24,266,1.80,54,37,+17,+0.49,46.8,42.4,+4.4,+0.12
Fluminense,36,30.0,35,"3,150",90,100,35.0,385,81,225,156,23,257,1.51,46,43,+3,+0.09,46.6,42.4,+4.2,+0.12
Fortaleza,32,30.5,35,"3,150",90,100,35.0,385,82,218,169,19,249,1.29,40,42,-2,-0.06,48.4,40.9,+7.5,+0.22
Goiás,38,28.7,35,"3,150",90,100,35.0,385,80,219,160,24,253,1.00,34,50,-16,-0.46,34.7,42.7,-8.0,-0.23
Grêmio,44,28.7,35,"3,150",90,100,35.0,385,80,220,165,23,254,1.69,57,53,+4,+0.11,45.7,51.6,-5.9,-0.17
Internacional,35,29.3,35,"3,150",90,100,35.0,385,80,217,168,23,243,1.31,39,43,-4,-0.11,38.5,44.4,-5.9,-0.17
Palmeiras,31,27.7,35,"3,150",90,100,35.0,385,81,211,170,20,243,1.80,58,32,+26,+0.74,50.6,37.4,+13.2,+0.38
Santos,46,27.3,35,"3,150",90,100,35.0,385,81,217,167,22,251,1.23,38,56,-18,-0.51,39.1,47.7,-8.6,-0.25
São Paulo,38,27.6,35,"3,150",90,100,35.0,385,80,207,175,22,243,1.34,37,36,+1,+0.03,45.6,34.5,+11.1,+0.32
Vasco da Gama,39,26.9,35,"3,150",90,100,35.0,385,80,217,167,22,253,1.20,37,45,-8,-0.23,43.8,43.2,+0.6,+0.02
