Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs América (MG),4,35,35,"3,150",35.0,39,1.11,154,113,77.3,22,9,4,9,25.7,6,4,2,0,33.3
vs Ath Paranaense,2,35,35,"3,150",35.0,47,1.34,160,113,73.1,9,13,13,7,20.0,4,4,0,0,0.0
vs Atlético Mineiro,2,35,35,"3,150",35.0,46,1.31,158,113,74.7,9,9,17,7,20.0,6,6,0,0,0.0
vs Bahia,3,35,35,"3,150",35.0,44,1.26,154,112,73.4,16,8,11,13,37.1,3,3,0,0,0.0
vs Botafogo (RJ),2,35,35,"3,150",35.0,56,1.60,162,106,67.9,9,8,18,7,20.0,6,4,2,0,33.3
vs Bragantino,2,35,35,"3,150",35.0,46,1.31,194,149,77.8,8,11,16,9,25.7,3,3,0,0,0.0
vs Corinthians,2,35,35,"3,150",35.0,40,1.14,149,111,77.2,11,14,10,8,22.9,7,6,0,1,0.0
vs Coritiba,2,35,35,"3,150",35.0,40,1.14,141,102,77.3,22,5,8,9,25.7,9,8,0,1,0.0
vs Cruzeiro,2,35,35,"3,150",35.0,33,0.94,148,118,79.1,13,11,11,16,45.7,3,2,0,1,0.0
vs Cuiabá,2,35,35,"3,148",35.0,36,1.03,130,95,76.2,13,9,13,14,40.0,6,5,0,1,0.0
vs Flamengo,3,35,35,"3,150",35.0,54,1.54,164,111,72.0,8,9,18,6,17.1,9,8,0,1,0.0
vs Fluminense,3,35,35,"3,150",35.0,46,1.31,193,145,77.2,12,8,15,11,31.4,4,2,2,0,50.0
vs Fortaleza,3,35,35,"3,150",35.0,40,1.14,175,135,80.0,14,9,12,13,37.1,7,5,1,1,16.7
vs Goiás,2,35,35,"3,150",35.0,34,0.97,129,96,77.5,16,11,8,13,37.1,5,5,0,0,0.0
vs Grêmio,4,35,35,"3,150",35.0,57,1.63,173,118,69.4,12,5,18,9,25.7,6,4,0,2,0.0
vs Internacional,3,35,35,"3,150",35.0,39,1.11,140,101,74.3,13,10,12,14,40.0,4,3,1,0,25.0
vs Palmeiras,2,35,35,"3,150",35.0,58,1.66,187,129,70.1,8,9,18,8,22.9,4,2,1,1,33.3
vs Santos,2,35,35,"3,150",35.0,38,1.09,135,99,76.3,14,10,11,14,40.0,6,6,0,0,0.0
vs São Paulo,2,35,35,"3,150",35.0,37,1.06,158,116,79.1,12,11,12,13,37.1,8,4,4,0,50.0
vs Vasco da Gama,1,35,35,"3,150",35.0,37,1.06,137,100,75.9,15,9,11,11,31.4,4,4,0,0,0.0
