Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
América (MG),43,35.0,837,23.91,622,73,46,45,39,12,68,1.94,51,4,3,6,3,1
Ath Paranaense,38,35.0,905,25.86,633,94,57,49,51,21,86,2.46,70,4,1,5,5,1
Atlético Mineiro,31,35.0,787,22.49,569,49,53,42,62,12,76,2.17,55,2,5,4,9,1
Bahia,35,35.0,840,24.00,584,81,66,63,36,10,70,2.00,40,4,7,13,5,1
Botafogo (RJ),35,35.0,833,23.80,578,80,67,53,43,12,96,2.74,58,11,10,10,6,1
Bragantino,34,35.0,1012,28.91,744,71,65,67,51,14,76,2.17,49,4,7,11,4,1
Corinthians,36,35.0,729,20.83,515,77,46,42,36,13,62,1.77,41,4,2,8,6,1
Coritiba,44,35.0,679,19.40,464,68,43,36,56,12,66,1.89,41,7,5,6,7,0
Cruzeiro,37,35.0,852,24.34,611,88,57,42,45,9,56,1.60,41,3,7,2,2,1
Cuiabá,30,35.0,739,21.11,497,86,46,44,51,15,57,1.63,36,6,3,4,7,1
Flamengo,32,35.0,820,23.43,623,43,60,47,37,10,98,2.80,62,6,13,4,13,0
Fluminense,36,35.0,919,26.26,688,59,72,51,38,11,81,2.31,54,4,9,10,4,0
Fortaleza,32,35.0,906,25.89,649,73,49,59,55,21,65,1.86,46,2,5,5,5,2
Goiás,38,35.0,788,22.51,510,109,41,56,60,12,57,1.63,31,9,3,6,8,0
Grêmio,44,35.0,839,23.97,580,97,56,53,40,13,98,2.80,70,9,4,7,4,4
Internacional,35,35.0,763,21.80,563,51,35,57,42,15,67,1.91,48,3,2,7,4,3
Palmeiras,31,35.0,984,28.11,692,101,64,51,59,17,97,2.77,59,9,8,12,8,1
Santos,46,35.0,722,20.63,454,103,44,53,53,15,61,1.74,36,6,2,9,8,0
São Paulo,38,35.0,851,24.31,610,68,65,55,41,12,58,1.66,36,4,5,9,3,1
Vasco da Gama,39,35.0,739,21.11,536,62,46,41,48,6,58,1.66,36,4,6,6,6,0
