Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs América (MG),43,35.0,15513,19203,80.8,266496,93637,7387,8225,89.8,6228,7226,86.2,1473,2713,54.3,53,38.6,36.5,+14.4,389,1412,311,86,1600
vs Ath Paranaense,38,35.0,13204,16695,79.1,237072,86468,5844,6671,87.6,5592,6537,85.5,1430,2564,55.8,28,28.8,32.5,-0.8,346,974,237,74,1256
vs Atlético Mineiro,31,35.0,12338,15657,78.8,217711,83731,5670,6448,87.9,5013,5946,84.3,1328,2389,55.6,17,25.1,29.8,-8.1,312,1100,229,83,1325
vs Bahia,35,35.0,12699,16195,78.4,229649,84111,5614,6405,87.7,5381,6339,84.9,1438,2516,57.2,31,33.2,31.6,-2.2,319,1047,251,63,1335
vs Botafogo (RJ),35,35.0,13930,17436,79.9,248035,86535,6070,6826,88.9,6030,7023,85.9,1438,2602,55.3,24,33.7,28.3,-9.7,344,1174,240,69,1428
vs Bragantino,34,35.0,9650,13723,70.3,182656,77402,4101,4995,82.1,3999,5119,78.1,1306,2666,49.0,17,26.6,22.5,-9.6,308,731,186,42,931
vs Corinthians,36,35.0,15010,18295,82.0,258522,88619,7060,7849,89.9,6217,7107,87.5,1373,2367,58.0,31,32.9,36.7,-1.9,445,1324,312,97,1615
vs Coritiba,44,35.0,14587,18121,80.5,266882,90664,6125,6964,88.0,6491,7430,87.4,1637,2778,58.9,42,34.8,34.5,+7.2,393,1298,283,89,1523
vs Cruzeiro,37,35.0,12382,15874,78.0,222343,81310,5562,6325,87.9,5201,6147,84.6,1331,2524,52.7,21,28.5,26.6,-7.5,287,1040,227,57,1280
vs Cuiabá,30,35.0,15493,18886,82.0,278215,93736,6814,7531,90.5,6698,7658,87.5,1627,2795,58.2,21,28.4,31.8,-7.4,323,1361,278,99,1574
vs Flamengo,32,35.0,11639,14769,78.8,211942,78395,5050,5751,87.8,4897,5784,84.7,1375,2419,56.8,20,27.9,27.0,-7.9,363,905,238,75,1217
vs Fluminense,36,35.0,10168,13143,77.4,187476,70993,4492,5112,87.9,4152,4933,84.2,1283,2369,54.2,32,30.6,30.0,+1.4,363,891,269,91,1059
vs Fortaleza,32,35.0,13652,17002,80.3,242328,86613,6099,6875,88.7,5954,6850,86.9,1311,2379,55.1,26,26.6,27.9,-0.6,324,1014,237,71,1290
vs Goiás,38,35.0,14876,18266,81.4,268161,93117,6374,7160,89.0,6715,7674,87.5,1504,2644,56.9,35,28.8,32.8,+6.2,376,1304,306,86,1605
vs Grêmio,44,35.0,14459,17996,80.3,250186,93384,6936,7822,88.7,5698,6739,84.6,1458,2499,58.3,37,39.4,41.5,-2.4,448,1343,327,86,1543
vs Internacional,35,35.0,12998,16446,79.0,237887,83224,5611,6445,87.1,5572,6521,85.4,1529,2615,58.5,24,25.1,26.3,-1.1,301,1082,246,81,1374
vs Palmeiras,31,35.0,11848,14970,79.1,205154,82360,5553,6245,88.9,4778,5663,84.4,1160,2232,52.0,20,25.3,24.2,-5.3,305,943,205,62,1120
vs Santos,46,35.0,14250,17726,80.4,252559,88721,6386,7145,89.4,6110,7093,86.1,1450,2585,56.1,40,32.9,39.8,+7.1,372,1211,275,91,1449
vs São Paulo,38,35.0,10277,13351,77.0,183921,73721,4659,5307,87.8,4089,4933,82.9,1193,2259,52.8,22,22.5,22.4,-0.5,312,900,254,76,1118
vs Vasco da Gama,39,35.0,13612,16914,80.5,241996,86264,6059,6871,88.2,5808,6752,86.0,1412,2409,58.6,32,30.5,31.1,+1.5,340,1219,290,76,1516
