Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
América (MG),43,35.0,10327,13889,74.4,185612,78204,4650,5456,85.2,4112,5157,79.7,1224,2375,51.5,27,32.4,33.4,-5.4,370,949,273,105,1266
Ath Paranaense,38,35.0,12046,15526,77.6,222296,82959,5247,6005,87.4,5139,6067,84.7,1433,2675,53.6,36,36.9,33.1,-0.9,396,1020,270,83,1258
Atlético Mineiro,31,35.0,14320,17784,80.5,252607,89529,6491,7269,89.3,6013,6922,86.9,1455,2643,55.1,29,30.7,31.5,-1.7,328,1184,251,63,1325
Bahia,35,35.0,12967,16438,78.9,229181,83854,5849,6692,87.4,5424,6409,84.6,1329,2394,55.5,23,27.3,29.2,-4.3,361,1076,265,72,1376
Botafogo (RJ),35,35.0,12565,15862,79.2,231102,83774,5426,6160,88.1,5344,6282,85.1,1497,2642,56.7,39,30.8,29.5,+8.2,352,1113,231,88,1285
Bragantino,34,35.0,13283,17328,76.7,237138,91013,6074,6984,87.0,5372,6485,82.8,1504,2829,53.2,28,35.8,37.2,-7.8,425,1273,313,78,1604
Corinthians,36,35.0,14046,17327,81.1,249524,89526,6279,7005,89.6,6046,7020,86.1,1422,2486,57.2,21,23.0,23.6,-2.0,313,1096,202,65,1251
Coritiba,44,35.0,10820,14212,76.1,196849,77585,4785,5604,85.4,4595,5503,83.5,1198,2366,50.6,24,23.2,21.9,+0.8,275,890,191,71,1055
Cruzeiro,37,35.0,13251,16817,78.8,249373,90208,5421,6256,86.7,5936,6895,86.1,1676,2830,59.2,24,31.4,33.8,-7.4,367,1205,281,83,1503
Cuiabá,30,35.0,11511,14897,77.3,212390,82819,4919,5688,86.5,4936,5919,83.4,1393,2491,55.9,23,23.1,24.5,-0.1,304,1046,216,72,1277
Flamengo,32,35.0,16618,19758,84.1,281110,93999,8074,8866,91.1,6778,7595,89.2,1376,2335,58.9,37,31.9,37.8,+5.1,352,1504,349,63,1752
Fluminense,36,35.0,17667,20670,85.5,274500,88262,9549,10318,92.5,6297,7041,89.4,1189,2028,58.6,32,33.9,33.8,-1.9,390,1368,301,78,1508
Fortaleza,32,35.0,11947,15288,78.1,217995,78650,5141,5837,88.1,5138,6105,84.2,1373,2501,54.9,24,32.5,29.9,-8.5,368,1126,267,85,1386
Goiás,38,35.0,11008,14388,76.5,210495,83430,4519,5213,86.7,4710,5660,83.2,1523,2672,57.0,21,23.4,26.2,-2.4,332,896,227,65,1190
Grêmio,44,35.0,12359,16053,77.0,207257,83029,5984,6951,86.1,4766,5768,82.6,1161,2276,51.0,42,33.4,34.5,+8.6,360,1043,283,53,1433
Internacional,35,35.0,14141,17473,80.9,243966,83470,6460,7276,88.8,6229,7198,86.5,1160,2151,53.9,24,25.6,29.7,-1.6,320,1126,234,64,1285
Palmeiras,31,35.0,13680,17084,80.1,268967,94185,5067,5764,87.9,6433,7407,86.9,1958,3119,62.8,41,38.2,35.4,+2.8,402,1195,288,114,1501
Santos,46,35.0,10886,14270,76.3,193254,71536,4917,5630,87.3,4550,5481,83.0,1126,2295,49.1,25,26.1,25.4,-1.1,295,794,198,48,1123
São Paulo,38,35.0,16922,20107,84.2,303813,96702,7336,8060,91.0,7454,8290,89.9,1738,2744,63.3,26,30.8,32.7,-4.8,356,1374,282,71,1563
Vasco da Gama,39,35.0,12221,15497,78.9,221762,80271,5278,5938,88.9,5351,6270,85.3,1321,2472,53.4,27,29.7,30.7,-2.7,304,995,279,133,1217
