Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs América (MG),43,57.7,35.0,23053,2064,6266,11078,5979,809,23046,722,409,56.6,238,33.0,13742,75666,40872,813,664,182,538,280,15376,1583
vs Ath Paranaense,38,51.7,35.0,20472,2190,6410,9494,4769,624,20467,604,287,47.5,261,43.2,11461,60658,31229,563,428,120,527,276,13062,1239
vs Atlético Mineiro,31,47.0,35.0,19602,1862,5765,9376,4698,601,19601,788,381,48.4,338,42.9,11001,61041,32157,565,481,89,534,360,12211,1316
vs Bahia,35,49.7,35.0,20022,1969,5775,9895,4555,641,20016,745,375,50.3,305,40.9,10916,60452,31966,616,463,132,467,331,12579,1319
vs Botafogo (RJ),35,52.3,35.0,21179,1966,6221,10311,4862,636,21178,694,336,48.4,294,42.4,12074,63312,32833,590,411,128,489,280,13814,1413
vs Bragantino,34,44.1,35.0,18074,2565,7337,7279,3682,609,18066,710,373,52.5,266,37.5,8812,48220,24648,477,315,152,617,330,9526,920
vs Corinthians,36,51.3,35.0,22142,1805,5517,10595,6267,776,22135,716,364,50.8,287,40.1,12832,71172,39881,761,597,136,516,286,14877,1607
vs Coritiba,44,56.0,35.0,22006,1816,5970,10721,5524,750,21997,757,359,47.4,318,42.0,12935,68607,35034,598,492,127,567,322,14483,1512
vs Cruzeiro,37,48.5,35.0,19607,2118,6417,8982,4427,580,19604,624,300,48.1,259,41.5,11147,59883,31275,594,437,118,477,300,12226,1266
vs Cuiabá,30,55.9,35.0,22423,2140,6660,10523,5437,626,22419,776,410,52.8,308,39.7,12803,67904,33217,583,482,120,486,298,15378,1565
vs Flamengo,32,42.9,35.0,18671,2194,6260,8402,4241,637,18665,736,379,51.5,287,39.0,10479,55362,28108,538,402,120,479,306,11547,1207
vs Fluminense,36,39.0,35.0,17060,2057,5559,7057,4630,710,17055,575,257,44.7,251,43.7,9394,50490,26139,552,444,148,472,242,10064,1048
vs Fortaleza,32,52.8,35.0,20887,2162,6435,10084,4599,600,20880,774,390,50.4,307,39.7,12109,66683,35476,649,489,122,518,298,13537,1281
vs Goiás,38,55.7,35.0,22196,1887,6201,10556,5641,778,22191,689,333,48.3,281,40.8,12753,66561,35877,591,438,141,528,278,14713,1581
vs Grêmio,44,53.0,35.0,22085,2013,6183,10331,5816,769,22081,722,399,55.3,261,36.1,12863,72584,38344,769,663,152,555,307,14321,1530
vs Internacional,35,48.5,35.0,20149,1908,6028,9637,4688,625,20142,698,325,46.6,307,44.0,11552,61264,31252,538,435,89,445,258,12849,1361
vs Palmeiras,31,46.4,35.0,18843,2274,6194,8688,4188,547,18838,690,348,50.4,264,38.3,10358,56783,29158,521,423,100,508,294,11726,1111
vs Santos,46,55.4,35.0,21565,1902,5889,10584,5322,719,21559,760,376,49.5,322,42.4,12462,64636,34505,590,481,107,521,317,14142,1435
vs São Paulo,38,40.0,35.0,17214,2079,5744,7515,4155,581,17205,645,324,50.2,266,41.2,9216,49126,24692,474,322,94,505,227,10172,1105
vs Vasco da Gama,39,52.1,35.0,20859,1965,5726,9945,5411,709,20855,731,388,53.1,257,35.2,12059,65143,34840,623,492,129,544,315,13464,1504
