Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs América (MG),43,35.0,72,527,190,36.1,15.06,5.43,0.13,0.36,18.7,25,4,7,54.9,49.2,0.10,+17.1,+18.8
vs Ath Paranaense,38,35.0,39,448,148,33.0,12.80,4.23,0.08,0.24,19.4,18,3,5,39.8,35.8,0.08,-0.8,+0.2
vs Atlético Mineiro,31,35.0,26,438,124,28.3,12.51,3.54,0.06,0.20,19.0,31,1,1,36.5,35.7,0.08,-10.5,-10.7
vs Bahia,35,35.0,47,430,173,40.2,12.29,4.94,0.10,0.24,19.0,30,6,6,48.0,43.6,0.10,-1.0,-2.6
vs Botafogo (RJ),35,35.0,32,467,162,34.7,13.34,4.63,0.07,0.20,19.0,24,0,1,45.0,44.2,0.10,-13.0,-12.2
vs Bragantino,34,35.0,30,414,112,27.1,11.83,3.20,0.06,0.21,18.6,14,7,8,40.0,34.3,0.08,-10.0,-11.3
vs Corinthians,36,35.0,43,577,165,28.6,16.49,4.71,0.06,0.22,20.3,23,6,7,46.3,40.9,0.07,-3.3,-3.9
vs Coritiba,44,35.0,67,537,190,35.4,15.34,5.43,0.11,0.31,17.9,29,8,9,55.9,48.8,0.09,+11.1,+10.2
vs Cruzeiro,37,35.0,30,384,128,33.3,10.97,3.66,0.07,0.22,18.3,16,2,3,38.4,36.0,0.09,-8.4,-8.0
vs Cuiabá,30,35.0,33,417,134,32.1,11.91,3.83,0.07,0.22,19.1,12,4,4,38.3,35.1,0.09,-5.3,-6.1
vs Flamengo,32,35.0,37,504,160,31.7,14.40,4.57,0.06,0.20,19.8,15,5,6,42.4,38.0,0.08,-5.4,-6.0
vs Fluminense,36,35.0,42,474,138,29.1,13.54,3.94,0.08,0.28,19.7,17,4,5,42.4,38.6,0.08,-0.4,-0.6
vs Fortaleza,32,35.0,40,444,142,32.0,12.69,4.06,0.08,0.26,19.2,23,3,7,40.9,35.5,0.08,-0.9,+1.5
vs Goiás,38,35.0,49,504,159,31.5,14.40,4.54,0.09,0.28,18.6,26,5,5,42.7,38.9,0.08,+6.3,+5.1
vs Grêmio,44,35.0,52,565,168,29.7,16.14,4.80,0.08,0.29,19.1,18,4,4,51.6,48.5,0.09,+0.4,-0.5
vs Internacional,35,35.0,42,452,149,33.0,12.91,4.26,0.08,0.24,18.3,30,6,7,44.4,38.7,0.09,-2.4,-2.7
vs Palmeiras,31,35.0,31,397,135,34.0,11.34,3.86,0.07,0.20,19.5,19,4,5,37.4,33.5,0.09,-6.4,-6.5
vs Santos,46,35.0,53,507,179,35.3,14.49,5.11,0.10,0.27,18.7,24,4,6,47.7,43.2,0.09,+5.3,+5.8
vs São Paulo,38,35.0,35,419,119,28.4,11.97,3.40,0.06,0.23,20.1,16,8,9,34.5,27.5,0.07,+0.5,-0.5
vs Vasco da Gama,39,35.0,45,468,165,35.3,13.37,4.71,0.09,0.25,19.4,34,4,5,43.2,39.2,0.09,+1.8,+1.8
