Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs América (MG),43,28.4,57.7,35,385,"3,150",35.0,72,53,125,68,4,7,72,5,54.9,49.2,38.6,87.9,813,1600,2.06,1.51,3.57,1.94,3.46,1.57,1.10,2.67,1.41,2.51
vs Ath Paranaense,38,28.4,51.7,35,385,"3,150",35.0,39,28,67,36,3,5,91,3,39.8,35.8,28.8,64.5,563,1256,1.11,0.80,1.91,1.03,1.83,1.14,0.82,1.96,1.02,1.84
vs Atlético Mineiro,31,28.3,47.0,35,385,"3,150",35.0,26,17,43,25,1,1,100,7,36.5,35.7,25.1,60.8,565,1325,0.74,0.49,1.23,0.71,1.20,1.04,0.72,1.76,1.02,1.74
vs Bahia,35,28.2,49.7,35,385,"3,150",35.0,47,31,78,41,6,6,87,4,48.0,43.6,33.2,76.8,616,1335,1.34,0.89,2.23,1.17,2.06,1.37,0.95,2.32,1.24,2.19
vs Botafogo (RJ),35,28.3,52.3,35,385,"3,150",35.0,32,24,56,32,0,1,93,1,45.0,44.2,33.7,77.9,590,1428,0.91,0.69,1.60,0.91,1.60,1.29,0.96,2.25,1.26,2.23
vs Bragantino,34,28.4,44.1,35,385,"3,150",35.0,30,17,47,23,7,8,87,0,40.0,34.3,26.6,60.9,477,931,0.86,0.49,1.34,0.66,1.14,1.14,0.76,1.90,0.98,1.74
vs Corinthians,36,28.6,51.3,35,385,"3,150",35.0,43,31,74,37,6,7,92,6,46.3,40.9,32.9,73.8,761,1615,1.23,0.89,2.11,1.06,1.94,1.32,0.94,2.26,1.17,2.11
vs Coritiba,44,28.5,56.0,35,385,"3,150",35.0,67,42,109,59,8,9,92,3,55.9,48.8,34.8,83.6,598,1523,1.91,1.20,3.11,1.69,2.89,1.60,1.00,2.59,1.39,2.39
vs Cruzeiro,37,28.4,48.5,35,385,"3,150",35.0,30,21,51,28,2,3,109,4,38.4,36.0,28.5,64.5,594,1280,0.86,0.60,1.46,0.80,1.40,1.10,0.81,1.91,1.03,1.84
vs Cuiabá,30,28.4,55.9,35,385,"3,150",35.0,33,21,54,29,4,4,102,7,38.3,35.1,28.4,63.5,583,1574,0.94,0.60,1.54,0.83,1.43,1.09,0.81,1.90,1.00,1.81
vs Flamengo,32,28.3,42.9,35,385,"3,150",35.0,37,20,57,32,5,6,100,8,42.4,38.0,27.9,65.8,538,1217,1.06,0.57,1.63,0.91,1.49,1.21,0.80,2.01,1.08,1.88
vs Fluminense,36,28.4,39.0,35,385,"3,150",35.0,42,32,74,38,4,5,94,4,42.4,38.6,30.6,69.2,552,1059,1.20,0.91,2.11,1.09,2.00,1.21,0.87,2.09,1.10,1.98
vs Fortaleza,32,28.1,52.8,35,385,"3,150",35.0,40,26,66,37,3,7,93,3,40.9,35.5,26.6,62.1,649,1290,1.14,0.74,1.89,1.06,1.80,1.17,0.76,1.93,1.01,1.77
vs Goiás,38,28.0,55.7,35,385,"3,150",35.0,49,35,84,44,5,5,104,6,42.7,38.9,28.8,67.8,591,1605,1.40,1.00,2.40,1.26,2.26,1.22,0.82,2.05,1.11,1.94
vs Grêmio,44,28.3,53.0,35,385,"3,150",35.0,52,37,89,48,4,4,106,7,51.6,48.5,39.4,87.9,769,1543,1.49,1.06,2.54,1.37,2.43,1.47,1.13,2.60,1.38,2.51
vs Internacional,35,28.4,48.5,35,385,"3,150",35.0,42,24,66,36,6,7,92,7,44.4,38.7,25.1,63.8,538,1374,1.20,0.69,1.89,1.03,1.71,1.27,0.72,1.98,1.11,1.82
vs Palmeiras,31,28.2,46.4,35,385,"3,150",35.0,31,20,51,27,4,5,117,10,37.4,33.5,25.3,58.8,521,1120,0.89,0.57,1.46,0.77,1.34,1.07,0.72,1.79,0.96,1.68
vs Santos,46,28.3,55.4,35,385,"3,150",35.0,53,40,93,49,4,6,99,6,47.7,43.2,32.9,76.1,590,1449,1.51,1.14,2.66,1.40,2.54,1.36,0.94,2.30,1.23,2.17
vs São Paulo,38,28.5,40.0,35,385,"3,150",35.0,35,22,57,27,8,9,103,4,34.5,27.5,22.5,50.0,474,1118,1.00,0.63,1.63,0.77,1.40,0.98,0.64,1.63,0.79,1.43
vs Vasco da Gama,39,28.3,52.1,35,385,"3,150",35.0,45,32,77,41,4,5,84,5,43.2,39.2,30.5,69.7,623,1516,1.29,0.91,2.20,1.17,2.09,1.24,0.87,2.11,1.12,1.99
