Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
América (MG),43,30.1,42.3,35,385,"3,150",35.0,39,27,66,35,4,6,83,9,44.6,40.0,32.4,72.4,590,1266,1.11,0.77,1.89,1.00,1.77,1.28,0.93,2.20,1.14,2.07
Ath Paranaense,38,26.9,48.3,35,385,"3,150",35.0,47,36,83,43,4,4,97,4,48.2,45.3,36.9,82.1,553,1258,1.34,1.03,2.37,1.23,2.26,1.38,1.05,2.43,1.29,2.35
Atlético Mineiro,31,29.5,53.0,35,385,"3,150",35.0,45,29,74,39,6,6,105,5,43.5,39.3,30.7,70.0,625,1325,1.29,0.83,2.11,1.11,1.94,1.24,0.88,2.12,1.12,2.00
Bahia,35,27.7,50.3,35,385,"3,150",35.0,42,23,65,39,3,3,93,5,44.6,42.2,27.3,69.6,636,1376,1.20,0.66,1.86,1.11,1.77,1.27,0.78,2.05,1.21,1.99
Botafogo (RJ),35,29.4,47.7,35,385,"3,150",35.0,54,39,93,50,4,6,84,3,46.7,42.0,30.8,72.8,597,1285,1.54,1.11,2.66,1.43,2.54,1.33,0.88,2.21,1.20,2.08
Bragantino,34,25.1,55.9,35,385,"3,150",35.0,45,28,73,42,3,3,102,3,53.4,51.0,35.8,86.9,651,1604,1.29,0.80,2.09,1.20,2.00,1.53,1.02,2.55,1.46,2.48
Corinthians,36,28.2,48.7,35,385,"3,150",35.0,38,21,59,32,6,7,88,2,36.4,31.0,23.0,54.0,590,1251,1.09,0.60,1.69,0.91,1.51,1.04,0.66,1.70,0.88,1.54
Coritiba,44,28.2,44.0,35,385,"3,150",35.0,39,24,63,31,8,9,118,4,36.6,29.5,23.2,52.7,504,1055,1.11,0.69,1.80,0.89,1.57,1.05,0.66,1.71,0.84,1.51
Cruzeiro,37,28.8,51.5,35,385,"3,150",35.0,30,24,54,28,2,3,94,4,41.7,39.4,31.4,70.7,589,1503,0.86,0.69,1.54,0.80,1.49,1.19,0.90,2.09,1.13,2.02
Cuiabá,30,28.9,44.1,35,385,"3,150",35.0,35,23,58,30,5,6,82,2,34.8,30.3,23.1,53.4,538,1277,1.00,0.66,1.66,0.86,1.51,0.99,0.66,1.65,0.87,1.53
Flamengo,32,27.5,57.1,35,385,"3,150",35.0,53,37,90,45,8,9,77,5,46.8,39.7,31.9,71.6,646,1752,1.51,1.06,2.57,1.29,2.34,1.34,0.91,2.25,1.13,2.05
Fluminense,36,30.0,61.0,35,385,"3,150",35.0,46,32,78,44,2,4,114,8,46.6,43.4,33.9,77.4,784,1508,1.31,0.91,2.23,1.26,2.17,1.33,0.97,2.30,1.24,2.21
Fortaleza,32,30.5,47.2,35,385,"3,150",35.0,39,24,63,34,5,7,86,1,48.4,42.9,32.5,75.4,642,1386,1.11,0.69,1.80,0.97,1.66,1.38,0.93,2.31,1.23,2.15
Goiás,38,28.7,44.4,35,385,"3,150",35.0,33,21,54,28,5,5,99,6,34.7,30.9,23.4,54.3,477,1190,0.94,0.60,1.54,0.80,1.40,0.99,0.67,1.66,0.88,1.55
Grêmio,44,28.7,47.0,35,385,"3,150",35.0,55,42,97,51,4,6,93,5,45.7,41.1,33.4,74.5,491,1433,1.57,1.20,2.77,1.46,2.66,1.31,0.95,2.26,1.17,2.13
Internacional,35,29.3,51.5,35,385,"3,150",35.0,38,24,62,35,3,4,106,6,38.5,35.2,25.6,60.8,567,1285,1.09,0.69,1.77,1.00,1.69,1.10,0.73,1.83,1.01,1.74
Palmeiras,31,27.7,53.6,35,385,"3,150",35.0,57,41,98,55,2,4,90,4,50.6,47.5,38.2,85.7,734,1501,1.63,1.17,2.80,1.57,2.74,1.44,1.09,2.54,1.36,2.45
Santos,46,27.3,44.6,35,385,"3,150",35.0,36,25,61,30,6,6,97,8,39.1,34.5,26.1,60.6,627,1123,1.03,0.71,1.74,0.86,1.57,1.12,0.75,1.87,0.98,1.73
São Paulo,38,27.6,60.0,35,385,"3,150",35.0,37,26,63,33,4,8,102,5,45.6,39.0,30.8,69.8,627,1563,1.06,0.74,1.80,0.94,1.69,1.30,0.88,2.18,1.12,2.00
Vasco da Gama,39,26.9,47.9,35,385,"3,150",35.0,37,27,64,33,4,4,94,6,43.8,40.8,29.7,70.5,537,1217,1.06,0.77,1.83,0.94,1.71,1.25,0.85,2.10,1.16,2.01
